rxcui,name,tty,suppress
1191,Aspirin,IN,N
198765,Aspirin 325 MG Oral Tablet,SCD,N
198766,Aspirin 81 MG Delayed Release Oral Tablet,SCD,N
6809,Metformin,IN,N
861004,Metformin hydrochloride 500 MG Oral Tablet,SCD,N
861007,Metformin hydrochloride 1000 MG Oral Tablet,SCD,N
29046,Lisinopril,IN,N
314076,Lisinopril 10 MG Oral Tablet,SCD,N
314077,Lisinopril 20 MG Oral Tablet,SCD,N
83367,Atorvastatin,IN,N
617318,Atorvastatin 10 MG Oral Tablet,SCD,N
617319,Atorvastatin 20 MG Oral Tablet,SCD,N
617320,Atorvastatin 40 MG Oral Tablet,SCD,N
3992,Furosemide,IN,N
197730,Furosemide 20 MG Oral Tablet,SCD,N
197731,Furosemide 40 MG Oral Tablet,SCD,N
6918,Metoprolol,IN,N
866924,Metoprolol Tartrate 25 MG Oral Tablet,SCD,N
866930,Metoprolol Tartrate 50 MG Oral Tablet,SCD,N
202878,Amlodipine,IN,N
308135,Amlodipine 5 MG Oral Tablet,SCD,N
308136,Amlodipine 10 MG Oral Tablet,SCD,N
8331,Omeprazole,IN,N
198041,Omeprazole 20 MG Delayed Release Oral Capsule,SCD,N
214559,Omeprazole 40 MG Delayed Release Oral Capsule,SCD,N
5640,Hydrochlorothiazide,IN,N
310798,Hydrochlorothiazide 25 MG Oral Tablet,SCD,N
153010,Albuterol,IN,N
745679,Albuterol 0.083 MG/ML Inhalation Solution,SCD,N
